Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02b,NIST SRM,SRM 4,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.297058824,1.364111536,1.302419609,1.333265572
02b,NIST SRM,SRM 4,Cer d18:1/24:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,1.26035503,1.324849137,1.265079724,1.294964431
02b,NIST SRM,SRM 4,Cer d18:1/24:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,1.347305389,1.417860767,1.353536966,1.385698867
02b,NIST SRM,SRM 4,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.420696325,0.467794623,0.440702673,0.454248648
02b,NIST SRM,SRM 4,Cer d18:1/24:1,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.42632613,0.474223283,0.44667629,0.460449787
02b,NIST SRM,SRM 4,Cer d18:1/24:1,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.443661972,0.494019037,0.465070834,0.479544936
02b,NIST SRM,SRM 5,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.185457516,0.141052978,0.124353254,0.132703116
02b,NIST SRM,SRM 5,Cer d18:1/16:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.189542484,0.144197535,0.127111088,0.135654311
02b,NIST SRM,SRM 5,Cer d18:1/16:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.194583333,0.148077918,0.130514255,0.139296086
02b,NIST SRM,SRM 5,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.02880597,0.043769332,0.044096203,0.043932767
02b,NIST SRM,SRM 5,Cer d18:1/18:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.028219971,0.042864471,0.043186791,0.043025631
02b,NIST SRM,SRM 5,Cer d18:1/18:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.029062958,0.044166155,0.044495022,0.044330588
02b,NIST SRM,SRM 5,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.213872832,1.275126687,1.217791973,1.24645933
02b,NIST SRM,SRM 5,Cer d18:1/24:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,1.241071429,1.304221285,1.245461931,1.274841608
02b,NIST SRM,SRM 5,Cer d18:1/24:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,1.281976744,1.347978092,1.287076151,1.317527121
02b,NIST SRM,SRM 5,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.424212598,0.471809847,0.444433685,0.458121766
02b,NIST SRM,SRM 5,Cer d18:1/24:1,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.443647541,0.494002558,0.465055522,0.47952904
02b,NIST SRM,SRM 5,Cer d18:1/24:1,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.422244094,0.469562017,0.442344965,0.455953491
02b,NIST SRM,SRM 6,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.1875,0.142625256,0.125732171,0.134178714
02b,NIST SRM,SRM 6,Cer d18:1/16:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.196428571,0.149498359,0.131760007,0.140629183
02b,NIST SRM,SRM 6,Cer d18:1/16:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.181640625,0.138114782,0.121776404,0.129945593
02b,NIST SRM,SRM 6,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.028267477,0.042937827,0.043260516,0.043099171
02b,NIST SRM,SRM 6,Cer d18:1/18:0,µmol/L,2,Standard,QTRAP 6500+,QQQ,0.027382753,0.041571695,0.041887513,0.041729604
02b,NIST SRM,SRM 6,Cer d18:1/18:0,µmol/L,3,Standard,QTRAP 6500+,QQQ,0.029680697,0.045120027,0.045453691,0.045286859
